"name","type","lsa_ha","ca_ha","region","dataset"
"NLA12_CA-R10","NATURAL",18.2261084802,1016.36928795,"6","NLA"
"NLA12_CA-R12","NATURAL",8.14625773608,24.93,"6","NLA"
"NLA12_CA-R13","NATURAL",10.1282081484,645.061239967,"6","NLA"
"NLA12_CO-101","RESERVOIR",303.645989029,2282.22,"9","NLA"
"NLA12_CO-101","RESERVOIR",303.645989029,2282.22,"9","NLA"
"NLA12_CO-102","RESERVOIR",14.9846451808,561.006077041,"6","NLA"
"NLA12_CO-103","RESERVOIR",611.561180315,6295.51222572,"9","NLA"
"NLA12_CO-104","RESERVOIR",72.4962377407,3219.75913857,"9","NLA"
"NLA12_CO-105","RESERVOIR",65.38610038,464.179404831,"6","NLA"
"NLA12_CO-106","RESERVOIR",189.816482805,1400.94,"9","NLA"
"NLA12_CO-107","RESERVOIR",50.0988646436,3523.9278804,"6","NLA"
"NLA12_CO-108","RESERVOIR",10.2228480771,1224.81714249,"6","NLA"
"NLA12_CO-109","RESERVOIR",51.0279663748,1834.49559402,"6","NLA"
"NLA12_CO-110","RESERVOIR",18.2457747086,91.35,"9","NLA"
"NLA12_CO-111","RESERVOIR",217.488128431,2919.98038376,"9","NLA"
"NLA12_CO-114","RESERVOIR",5.72683282612,25.29,"6","NLA"
"NLA12_CO-115","NATURAL",3.51158472181,90.293226471,"6","NLA"
"NLA12_CO-117","RESERVOIR",35.1710205253,875.241035156,"6","NLA"
"NLA12_CO-119","NATURAL",6.13592072345,98.4953739167,"6","NLA"
"NLA12_CO-121","RESERVOIR",2.05629819864,143.968023605,"6","NLA"
"NLA12_CO-124","RESERVOIR",9.20462926512,48.6,"9","NLA"
"NLA12_CO-125","NATURAL",1.6380100343,11.43,"6","NLA"
"NLA12_CO-127","RESERVOIR",24.7158703522,28.98,"9","NLA"
"NLA12_CO-129","NATURAL",2.90550194942,19.89,"9","NLA"
"NLA12_CO-130","NATURAL",3.83766991587,132.03,"6","NLA"
"NLA12_CO-131","RESERVOIR",17.3961885372,37.08,"10","NLA"
"NLA12_CO-131","RESERVOIR",17.3961885372,37.08,"10","NLA"
"NLA12_CO-133","MAN_MADE",15.6796429532,1252.46982719,"6","NLA"
"NLA12_CO-R01","NATURAL",130.90798569,5273.67134056,"6","NLA"
"NLA12_CO-R04","MAN_MADE",79.3961846673,26311.9816283,"6","NLA"
"NLA12_CO-R07","MAN_MADE",2.54456529433,149.94,"6","NLA"
"NLA12_CO-R10","NATURAL",1.88968371897,24.84,"6","NLA"
"NLA12_CT-101","MAN_MADE",19.4602204684,1049.95496338,"8","NLA"
"NLA12_CT-101","MAN_MADE",19.4602204684,1049.95496338,"8","NLA"
"NLA12_CT-102","NATURAL",99.9845031825,294.446521912,"5","NLA"
"NLA12_CT-103","RESERVOIR",56.1996724489,2309.81836487,"8","NLA"
"NLA12_CT-104","NATURAL",36.7324313082,7852.75269379,"8","NLA"
"NLA12_CT-105","NATURAL_ENH",10.5916918363,88.9078930667,"5","NLA"
"NLA12_CT-107","MAN_MADE",32.9819727702,1115.70522308,"8","NLA"
"NLA12_CT-108","NATURAL_ENH",38.9098579733,415.276108704,"8","NLA"
"NLA12_CT-115","MAN_MADE",111.711989269,743.04,"8","NLA"
"NLA12_CT-115","MAN_MADE",111.711989269,743.04,"8","NLA"
"NLA12_CT-118","NATURAL",25.5197079015,301.35234375,"8","NLA"
"NLA12_CT-126","MAN_MADE",33.9185830883,165.679557495,"8","NLA"
"NLA12_DE-101","MAN_MADE",65.474753699,2442.70126648,"8","NLA"
"NLA12_DE-101","MAN_MADE",65.474753699,2442.70126648,"8","NLA"
"NLA12_DE-102","MAN_MADE",23.0486743632,5344.01898926,"8","NLA"
"NLA12_DE-103","MAN_MADE",27.2760274902,15371.3861829,"8","NLA"
"NLA12_DE-104","MAN_MADE",34.4588471902,18855.3001685,"8","NLA"
"NLA12_DE-105","MAN_MADE",7.11223382068,2676.60426544,"8","NLA"
"NLA12_DE-105","MAN_MADE",7.11223382068,2676.60426544,"8","NLA"
"NLA12_DE-107","MAN_MADE",14.2216077297,4523.3751297,"8","NLA"
"NLA12_DE-121","MAN_MADE",23.8001966283,3678.44068817,"8","NLA"
"NLA12_FL-101","NATURAL",167489.608878,1310422.38003,"15","NLA"
"NLA12_FL-101","NATURAL",167489.608878,1310422.38003,"15","NLA"
"NLA12_FL-102","NATURAL",289.813136334,1823.94,"8","NLA"
"NLA12_FL-102","NATURAL",289.813136334,1823.94,"8","NLA"
"NLA12_FL-103","NATURAL",12408.3260661,36107.4228607,"8","NLA"
"NLA12_FL-104","NATURAL",39.1527690465,891.758111572,"8","NLA"
"NLA12_FL-105","NATURAL",6348.87798854,213169.538853,"8","NLA"
"NLA12_FL-106","NATURAL",24.4705039366,362.07,"8","NLA"
"NLA12_FL-107","NATURAL",30.0349259157,141.21,"8","NLA"
"NLA12_FL-108","MAN_MADE",3360.42475498,445078.674764,"8","NLA"
"NLA12_FL-109","NATURAL",3565.56455175,680033.547015,"8","NLA"
"NLA12_FL-110","NATURAL",1.87065489932,15.84,"8","NLA"
"NLA12_FL-110","NATURAL",1.87065489932,15.84,"8","NLA"
"NLA12_FL-114","NATURAL",6.37106718012,15.3,"8","NLA"
"NLA12_FL-123","NATURAL",34.5311977461,504.481615905,"8","NLA"
"NLA12_FL-123","NATURAL",34.5311977461,504.481615905,"8","NLA"
"NLA12_FL-126","NATURAL",2674.8265525,264239.62365,"8","NLA"
"NLA12_FL-130","NATURAL",21.506987664,40188.8772784,"8","NLA"
"NLA12_FL-132","NATURAL",605.441243456,6857.55,"8","NLA"
"NLA12_FL-141","NATURAL",32.7319553309,260.73,"8","NLA"
"NLA12_FL-R04","NATURAL",175.020916899,7776.81,"8","NLA"
"NLA12_FL-R06","NATURAL",719.27477354,2917.35914062,"8","NLA"
"NLA12_GA-101","MAN_MADE",9.74140080404,249.3,"8","NLA"
"NLA12_GA-101","MAN_MADE",9.74140080404,249.3,"8","NLA"
"NLA12_GA-102","NATURAL",5.01112291469,189.379407349,"8","NLA"
"NLA12_GA-103","MAN_MADE",32.2687802947,2790.9617926,"8","NLA"
"NLA12_GA-104","RESERVOIR",3511.41610266,289567.16713,"8","NLA"
"NLA12_GA-105","RESERVOIR",1341.25604669,60020.8692682,"8","NLA"
"NLA12_GA-107","MAN_MADE",2.4445909398,242.758927002,"8","NLA"
"NLA12_GA-111","MAN_MADE",6.71584562115,41.3090936277,"8","NLA"
"NLA12_GA-112","MAN_MADE",5.08089531796,131.22,"8","NLA"
"NLA12_GA-112","MAN_MADE",5.08089531796,131.22,"8","NLA"
"NLA12_GA-114","MAN_MADE",8.00473129936,272.582893982,"8","NLA"
"NLA12_GA-118","MAN_MADE",18.0646326063,342.348898316,"8","NLA"
"NLA12_GA-127","MAN_MADE",138.376504022,76504.1685672,"8","NLA"
"NLA12_GA-R01","MAN_MADE",1.59932693981,76.8517822263,"8","NLA"
"NLA12_GA-R11","MAN_MADE",30.7054430982,119849.9872,"8","NLA"
"NLA12_IA-101","NATURAL",362.62143889,3478.15146561,"9","NLA"
"NLA12_IA-101","NATURAL",362.62143889,3478.15146561,"9","NLA"
"NLA12_IA-102","NATURAL",20.6733941917,139.23,"9","NLA"
"NLA12_IA-103","MAN_MADE_AB",6.61838442124,28.71,"9","NLA"
"NLA12_IA-104","MAN_MADE",50.171180561,1334.20673996,"9","NLA"
"NLA12_IA-105","NATURAL_ENH",176.347315826,1032.93,"9","NLA"
"NLA12_IA-106","MAN_MADE",93.2822209662,4611.37119461,"9","NLA"
"NLA12_IA-107","NATURAL",300.558665538,1288.78966049,"9","NLA"
"NLA12_IA-109","NATURAL",51.592354119,695.449857788,"9","NLA"
"NLA12_IA-113","MAN_MADE",163.044141601,1522.96589355,"9","NLA"
"NLA12_IA-120","NATURAL",1223.53326463,7231.75321289,"9","NLA"
"NLA12_IA-120","NATURAL",1223.53326463,7231.75321289,"9","NLA"
"NLA12_IA-127","MAN_MADE",34.7189768308,581.963638458,"9","NLA"
"NLA12_IA-132","NATURAL",41.0770114204,145.8,"9","NLA"
"NLA12_IA-134","MAN_MADE",41.2923870641,2817.23363525,"9","NLA"
"NLA12_IA-150","MAN_MADE",24.7907792108,2742.90069809,"9","NLA"
"NLA12_IA-152","MAN_MADE",427.701059612,2507.9189035,"9","NLA"
"NLA12_IA-R01","NATURAL",7.40868221991,10.17,"9","NLA"
"NLA12_IA-R02","NATURAL",3.39354050413,10.44,"9","NLA"
"NLA12_IA-R03","MAN_MADE",28.3668232338,446.67,"9","NLA"
"NLA12_ID-101","RESERVOIR",211.429824424,7591.87023376,"6","NLA"
"NLA12_ID-101","RESERVOIR",211.429824424,7591.87023376,"6","NLA"
"NLA12_ID-102","NATURAL",70.5008518425,624.925360794,"6","NLA"
"NLA12_ID-103","NATURAL",399.596053781,9412.70963739,"6","NLA"
"NLA12_ID-104","RESERVOIR",61.4748639785,7832.36850128,"10","NLA"
"NLA12_ID-105","NATURAL",39.3295347098,363.42,"6","NLA"
"NLA12_ID-107","RESERVOIR",33.4235461065,10046.2960416,"10","NLA"
"NLA12_ID-108","NATURAL",201.772552259,5118.5803965,"6","NLA"
"NLA12_ID-109","RESERVOIR",3395.5480591,4237891.21113,"10","NLA"
"NLA12_ID-110","NATURAL_ENH",81.7921044728,27872.8584982,"10","NLA"
"NLA12_ID-111","RESERVOIR",393.036594883,27832.3442444,"10","NLA"
"NLA12_ID-112","NATURAL",21.5099285516,865.85592453,"6","NLA"
"NLA12_ID-112","NATURAL",21.5099285516,865.85592453,"6","NLA"
"NLA12_ID-113","MAN_MADE",9.70744433084,286.173368111,"6","NLA"
"NLA12_ID-121","MAN_MADE",12.7167868665,8891.71377972,"6","NLA"
"NLA12_ID-122","RESERVOIR",504.18748449,26835.7473818,"10","NLA"
"NLA12_ID-141","RESERVOIR",71.572215592,2739.27719902,"6","NLA"
"NLA12_ID-142","NATURAL",5.6464900649,2732.85,"6","NLA"
"NLA12_ID-143","RESERVOIR",35.5459807933,2334.24,"10","NLA"
"NLA12_ID-145","NATURAL",27.9384988466,1156.32201839,"6","NLA"
"NLA12_ID-148","RESERVOIR",38.0881894563,241.11,"10","NLA"
"NLA12_ID-149","NATURAL",6.48852408739,21.96,"6","NLA"
"NLA12_ID-151","RESERVOIR",44.6023391108,2706.26411041,"10","NLA"
"NLA12_ID-158","NATURAL",9.07830230833,139.214494515,"6","NLA"
"NLA12_ID-165","NATURAL",21.3905072986,2812.44386587,"6","NLA"
"NLA12_ID-166","RESERVOIR",21.2585441922,45727.2429105,"10","NLA"
"NLA12_ID-168","NATURAL",122.091341703,10938.6082034,"6","NLA"
"NLA12_ID-175","RESERVOIR",72.9743759664,13628.856078,"10","NLA"
"NLA12_ID-180","NATURAL",7.53098200566,118.983220024,"6","NLA"
"NLA12_ID-194","RESERVOIR",163.93366024,10219.5391604,"10","NLA"
"NLA12_ID-198","RESERVOIR",4.43170414446,34.1999999999,"10","NLA"
"NLA12_ID-203","RESERVOIR",13.5957441994,488.635361252,"6","NLA"
"NLA12_ID-205","NATURAL",13.581171538,585.318833542,"6","NLA"
"NLA12_ID-207","RESERVOIR",27.0535331113,2681.01792475,"6","NLA"
"NLA12_ID-209","RESERVOIR",12.4427878174,152.73,"6","NLA"
"NLA12_ID-210","NATURAL",27.8792659955,524.100473327,"6","NLA"
"NLA12_ID-214","RESERVOIR",407.395150587,184180.581523,"10","NLA"
"NLA12_ID-215","NATURAL",158.261773104,2746.0339127,"6","NLA"
"NLA12_ID-216","RESERVOIR",29.3850782178,4414.86620625,"10","NLA"
"NLA12_ID-218","NATURAL",10.9375536396,67.9143981171,"6","NLA"
"NLA12_ID-220","NATURAL",2.71785857977,35.5037403488,"6","NLA"
"NLA12_ID-221","NATURAL",12.2231563012,106.02,"6","NLA"
"NLA12_IL-103","MAN_MADE",42.6436179841,1764.82886078,"8","NLA"
"NLA12_IL-103","MAN_MADE",42.6436179841,1764.82886078,"8","NLA"
"NLA12_IL-104","NATURAL",88.5045410758,315.81,"8","NLA"
"NLA12_IL-105","MAN_MADE",296.199585412,5375.7996611,"8","NLA"
"NLA12_IL-106","NATURAL",154.80253987,9942.67307922,"8","NLA"
"NLA12_IL-109","MAN_MADE",13.1525163173,423.71644043,"8","NLA"
"NLA12_IL-109","MAN_MADE",13.1525163173,423.71644043,"8","NLA"
"NLA12_IL-110","MAN_MADE",1.73453723426,3.6,"8","NLA"
"NLA12_IL-111","MAN_MADE",333.944936419,2760.58046173,"8","NLA"
"NLA12_IL-112","MAN_MADE",1.8521402458,128.16,"8","NLA"
"NLA12_IL-114","MAN_MADE",72.9032470691,605.25,"8","NLA"
"NLA12_IL-116","MAN_MADE",10.8742676231,111.69,"8","NLA"
"NLA12_IL-118","MAN_MADE",20.7283329017,1676.7,"8","NLA"
"NLA12_IL-120","MAN_MADE",6.98792024258,71.91,"8","NLA"
"NLA12_IL-123","MAN_MADE",85.0954867381,2327.31,"8","NLA"
"NLA12_IL-R01","MAN_MADE",12.0275476391,151.715948181,"8","NLA"
"NLA12_IL-R03","MAN_MADE",5.06062563222,30.69,"8","NLA"
"NLA12_IL-R04","MAN_MADE",11.9049230104,121.781049499,"8","NLA"
"NLA12_IN-101","NATURAL",10.1905184639,45.18,"8","NLA"
"NLA12_IN-101","NATURAL",10.1905184639,45.18,"8","NLA"
