name	name_type	name_resolved	authority_system	authority_id
Amara discors	scientific	Amara discors	NA	NA
Harpalus animosus	scientific	Harpalus animosus	NA	NA
Nebria trifaria	scientific	Nebria trifaria	NA	NA
Dicheirotrichus mannerheimii	scientific	Dicheirotrichus mannerheimii	NA	NA
Cicindela longilabris	scientific	Cicindela longilabris	NA	NA
Notiophilus aquaticus	scientific	Notiophilus aquaticus	NA	NA
Bembidion ampliatum	scientific	Bembidion ampliatum	NA	NA
Calosoma calidum	scientific	Calosoma calidum	NA	NA
Harpalus indigens	scientific	Harpalus indigens	NA	NA
Bradycellus congener	scientific	Bradycellus congener	NA	NA
Harpalus ventralis	scientific	Harpalus ventralis	NA	NA
Harpalus opacipennis	scientific	Harpalus opacipennis	NA	NA
Harpalus lewisii	scientific	Harpalus lewisii	NA	NA
Amara carinata	scientific	Amara carinata	NA	NA
Chlaenius platyderus	scientific	Chlaenius platyderus	NA	NA
Stenolophus comma	scientific	Stenolophus comma	NA	NA
Pterostichus femoralis	scientific	Pterostichus femoralis	NA	NA
Chlaenius purpuricollis	scientific	Chlaenius purpuricollis	NA	NA
Panagaeus fasciatus	scientific	Panagaeus fasciatus	NA	NA
Brachinus cyanochroaticus	scientific	Brachinus cyanochroaticus	NA	NA
Amara tenax	scientific	Amara tenax	NA	NA
Bembidion praticola	scientific	Bembidion praticola	NA	NA
Agonum cupreum	scientific	Agonum cupreum	NA	NA
Stenolophus fuliginosus	scientific	Stenolophus fuliginosus	NA	NA
Agonum extensicolle	scientific	Agonum extensicolle	NA	NA
Brachinus cyanipennis	scientific	Brachinus cyanipennis	NA	NA
Anisodactylus harrisii	scientific	Anisodactylus harrisii	NA	NA
Diplocheila oregona	scientific	Diplocheila oregona	NA	NA
Brachinus medius	scientific	Brachinus medius	NA	NA
Anisodactylus nigrita	scientific	Anisodactylus nigrita	NA	NA
Diplocheila striatopunctata	scientific	Diplocheila striatopunctata	NA	NA
Dicheirotrichus cognatus	scientific	Dicheirotrichus cognatus	NA	NA
Elaphropus incurvus	scientific	Elaphropus incurvus	NA	NA
Bradycellus nigriceps	scientific	Bradycellus nigriceps	NA	NA
Dyschirius setosus	scientific	Dyschirius setosus	NA	NA
Bembidion mimus	scientific	Bembidion mimus	NA	NA
Amara ellipsis	scientific	Amara ellipsis	NA	NA
Amara angustatoides	scientific	Amara angustatoides	NA	NA
Bembidion mutatum	scientific	Bembidion mutatum	NA	NA
Microlestes curtipennis	scientific	Microlestes curtipennis	NA	NA
Amara fortis	scientific	Amara fortis	NA	NA
Dromochorus belfragei	scientific	Dromochorus belfragei	NA	NA
Cymindis laticollis	scientific	Cymindis laticollis	NA	NA
Cicindela obsoleta	scientific	Cicindela obsoleta	NA	NA
Cylindera celeripes	scientific	Cylindera celeripes	NA	NA
Anisodactylus texanus	scientific	Anisodactylus texanus	NA	NA
Calosoma morrisonii	scientific	Calosoma morrisonii	NA	NA
Amara brunnea	scientific	Amara brunnea	NA	NA
Calosoma semilaeve	scientific	Calosoma semilaeve	NA	NA
Harpalus obnixus	scientific	Harpalus obnixus	NA	NA
Microlestes nigrinus	scientific	Microlestes nigrinus	NA	NA
Anillinus carltoni	scientific	Anillinus carltoni	NA	NA
Pterostichus sayanus	scientific	Pterostichus sayanus	NA	NA
Agonum palustre	scientific	Agonum palustre	NA	NA
Anisodactylus sanctaecrucis	scientific	Anisodactylus sanctaecrucis	NA	NA
Amara cupreolata	scientific	Amara cupreolata	NA	NA
Scaphinotus unicolor	scientific	Scaphinotus unicolor	NA	NA
Agonum crenistriatum	scientific	Agonum crenistriatum	NA	NA
Chlaenius tricolor	scientific	Chlaenius tricolor	NA	NA
Pentagonica marshalli	scientific	Pentagonica marshalli	NA	NA
Helluomorphoides clairvillei	scientific	Helluomorphoides clairvillei	NA	NA
Cyclotrachelus floridensis	scientific	Cyclotrachelus floridensis	NA	NA
Apenes opaca	scientific	Apenes opaca	NA	NA
Amblygnathus iripennis	scientific	Amblygnathus iripennis	NA	NA
Cicindela abdominalis	scientific	Cicindela abdominalis	NA	NA
Selenophorus contractus	scientific	Selenophorus contractus	NA	NA
Ardistomis schaumii	scientific	Ardistomis schaumii	NA	NA
Calybe sallei	scientific	Calybe sallei	NA	NA
Platynus opaculus	scientific	Platynus opaculus	NA	NA
Badister parviceps	scientific	Badister parviceps	NA	NA
Sphaeroderus schaumii	scientific	Sphaeroderus schaumii	NA	NA
Pterostichus mutoides	scientific	Pterostichus mutoides	NA	NA
Dicheirus dilatatus	scientific	Dicheirus dilatatus	NA	NA
Anisodactylus melanopus	scientific	Anisodactylus melanopus	NA	NA
Amara angustata	scientific	Amara angustata	NA	NA
Amara flebilis	scientific	Amara flebilis	NA	NA
Amphasia sericea	scientific	Amphasia sericea	NA	NA
Carabus vinctus	scientific	Carabus vinctus	NA	NA
Amara exarata	scientific	Amara exarata	NA	NA
Agonum octopunctatum	scientific	Agonum octopunctatum	NA	NA
Acupalpus indistinctus	scientific	Acupalpus indistinctus	NA	NA
Clivina impressefrons	scientific	Clivina impressefrons	NA	NA
Calosoma sayi	scientific	Calosoma sayi	NA	NA
Bembidion affine	scientific	Bembidion affine	NA	NA
Patrobus longicornis	scientific	Patrobus longicornis	NA	NA
Bradycellus rupestris	scientific	Bradycellus rupestris	NA	NA
Pterostichus ordinarius	scientific	Pterostichus ordinarius	NA	NA
Pterostichus californicus	scientific	Pterostichus californicus	NA	NA
Dicheirus piceus	scientific	Dicheirus piceus	NA	NA
Amara insignis	scientific	Amara insignis	NA	NA
Pterostichus panticulatus	scientific	Pterostichus panticulatus	NA	NA
Anisodactylus similis	scientific	Anisodactylus similis	NA	NA
Apristus laticollis	scientific	Apristus laticollis	NA	NA
Notiophilus semiopacus	scientific	Notiophilus semiopacus	NA	NA
Amara aurata	scientific	Amara aurata	NA	NA
Agonum limbatum	scientific	Agonum limbatum	NA	NA
Amara scitula	scientific	Amara scitula	NA	NA
Bembidion lampros	scientific	Bembidion lampros	NA	NA
Pterostichus algidus	scientific	Pterostichus algidus	NA	NA
Bradycellus politus	scientific	Bradycellus politus	NA	NA
Apristus tuckeri	scientific	Apristus tuckeri	NA	NA
Helluomorphoides papago	scientific	Helluomorphoides papago	NA	NA
Chlaenius pimalicus	scientific	Chlaenius pimalicus	NA	NA
Helluomorphoides latitarsis	scientific	Helluomorphoides latitarsis	NA	NA
Bembidion poculare	scientific	Bembidion poculare	NA	NA
Agonum anthracinum	scientific	Agonum anthracinum	NA	NA
Plochionus timidus	scientific	Plochionus timidus	NA	NA
Selenophorus aequinoctialis	scientific	Selenophorus aequinoctialis	NA	NA
Apenes nebulosa	scientific	Apenes nebulosa	NA	NA
Colliuris lengi	scientific	Colliuris lengi	NA	NA
Notiobia mexicana	scientific	Notiobia mexicana	NA	NA
Calosoma parvicolle	scientific	Calosoma parvicolle	NA	NA
Abaris splendidula	scientific	Abaris splendidula	NA	NA
Calosoma prominens	scientific	Calosoma prominens	NA	NA
Pterostichus caudicalis	scientific	Pterostichus caudicalis	NA	NA
Pterostichus novus	scientific	Pterostichus novus	NA	NA
Oxypselaphus pusillus	scientific	Oxypselaphus pusillus	NA	NA
Bembidion nigrivestis	scientific	Bembidion nigrivestis	NA	NA
Harpalus fulvilabris	scientific	Harpalus fulvilabris	NA	NA
Pterostichus luctuosus	scientific	Pterostichus luctuosus	NA	NA
Agonum fidele	scientific	Agonum fidele	NA	NA
Agonum trigeminum	scientific	Agonum trigeminum	NA	NA
Agonum melanarium	scientific	Agonum melanarium	NA	NA
Amerizus wingatei	scientific	Amerizus wingatei	NA	NA
Elaphropus anceps	scientific	Elaphropus anceps	NA	NA
Agonum gratiosum	scientific	Agonum gratiosum	NA	NA
Agonum thoreyi	scientific	Agonum thoreyi	NA	NA
